[I 250623 14:08:46 websocket:47] WebSocket opened
[I 250623 14:22:26 websocket:49] WebSocket opened
[I 250623 14:22:27 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13300531, 'exchange_timestamp': 1750668746000, 'last_traded_price': 5608615, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:27 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13300578, 'exchange_timestamp': 1750668746000, 'last_traded_price': 5608675, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:27 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13300928, 'exchange_timestamp': 1750668747000, 'last_traded_price': 5608555, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:28 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13301234, 'exchange_timestamp': 1750668747000, 'last_traded_price': 5608555, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:28 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13301275, 'exchange_timestamp': 1750668747000, 'last_traded_price': 5608555, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:28 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13301312, 'exchange_timestamp': 1750668747000, 'last_traded_price': 5608555, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:28 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13301346, 'exchange_timestamp': 1750668747000, 'last_traded_price': 5608555, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:28 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13301468, 'exchange_timestamp': 1750668747000, 'last_traded_price': 5608465, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:28 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13301924, 'exchange_timestamp': 1750668748000, 'last_traded_price': 5608445, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:29 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13302148, 'exchange_timestamp': 1750668748000, 'last_traded_price': 5608375, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:29 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13302458, 'exchange_timestamp': 1750668749000, 'last_traded_price': 5608375, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:29 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13302496, 'exchange_timestamp': 1750668749000, 'last_traded_price': 5608375, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:29 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13302530, 'exchange_timestamp': 1750668749000, 'last_traded_price': 5608375, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:29 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13302576, 'exchange_timestamp': 1750668749000, 'last_traded_price': 5608375, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:29 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13302871, 'exchange_timestamp': 1750668749000, 'last_traded_price': 5607710, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:30 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13303097, 'exchange_timestamp': 1750668749000, 'last_traded_price': 5608605, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:30 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13303462, 'exchange_timestamp': 1750668750000, 'last_traded_price': 5608005, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:30 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13303609, 'exchange_timestamp': 1750668750000, 'last_traded_price': 5608005, 'subscription_mode_val': 'LTP'}
